Code Cegid;Historique
SPM;
SOD;"Emballeur industriel notamment pour EDF donc : PMUC et certificats de conformité&nbsp; JGL 09/02/2010"
SOFAC;Fabricant de cordes de guitare
TEL;
SOFEM;"<strong>19/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;vu Mme Cissé pour présentation Acobal : voir CRV<BR><strong>12/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél à Mme Cissé : OK pour une visite le 19/01 à 10h00 - préparer point 2016 et piste gains de productivité pour 2017<BR><strong>09/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;relance tél : pas pu l'avoir de la journée<BR><strong>23/11/2016 JACQUES G</STRONG>&nbsp;:&nbsp;relance tél : toujours pas disponible : laissé message de demande de rappel sur messagerie du standard<BR><strong>14/11/2016 JACQUES G</STRONG>&nbsp;:&nbsp;pas disponible - j'envoie un mail<BR><strong>24/10/2016 JACQUES G</STRONG>&nbsp;:&nbsp;standard Soflog pas disponible à 16h00 ! : rappeler<BR><strong>17/10/2016 JACQUES G</STRONG>&nbsp;:&nbsp;tél M. Bertrand pour un rdv le 09/11 : pas joignable : rappeler<BR><BR><BR>CA tout SOFLOG 2011 : 43 979 €&nbsp;&nbsp; 2012 : 48 507 €&nbsp;&nbsp;&nbsp; 2013 : 35 776 €&nbsp;&nbsp;&nbsp; 2014 : 20 870 €&nbsp;&nbsp;&nbsp; 2015 : 15 891 €&nbsp;&nbsp;&nbsp; 2016 :&nbsp;9 352 €&nbsp;&nbsp;&nbsp; érosion au profit d'ITEC qui a vendu 200 k€ en 2016"
GIS;
SOFAUB;
SOFC;"<strong>30/06/2017 JEAN-MICHEL B</strong>&nbsp;: contact avec Madame BADET, pas de visite programmé ras envoi coordonnées jmbb<br />
<br />
&nbsp;"
TELC;"<strong>11/04/2017 JEAN-MICHEL B</strong>&nbsp;: contact téléphonique avec M Bailly &nbsp;RAS (pas de visite souhaitée)&nbsp;<br />
<br />
&nbsp;"
SOFCHA;
TECO;20/01/2011 : M. Forestier dit à JGL que nos sacs GV450-400x500mm sont plus chers que ceux de la concurrence
SOFD;
TELIS;"<strong>05/12/2016 JACQUES G</strong>&nbsp;:&nbsp;PYD avait signalé que le site SOFLOG LESCAR était à affecter à Aéro car ne livrant nos produits qu'à des industriels aéro locaux<br />
<br />
&nbsp;"
TELL;
SOFM;
SOFMU;"<strong>07/10/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;contact téléphonique avec Gael Guerinoni, le siège achats décisionnaire est à Asnières, RAS sur commercial et technique<BR>29/01/2014 : visite JGL / M. Dussourd pour point sur pb corrosion sur machines Schlumberger<BR>26/02/2014 : nouvelle visite / M. Dussourd + Guerinoni juste avant visite chez leur client Schlumberger<BR>21/05/2014 : point JGL / MM Dussourd et Guerinoni sur politique achat Soflog groupe, Schlumberger et EDF"
TELP;"<BR><strong>15/09/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;passé voir : rencontré M. Donatien pour point rapide - confirmation que les&nbsp;achats se décident à Asnières - voir CRV<BR><strong>13/09/2016 JACQUES G :</STRONG> tél M. Loretz pour demande de rencontre : laissé message lui demandant de me rappeler :&nbsp;pas de réponse&nbsp;<BR><strong>29/08/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;C'est M. Loretz, patron du site de St Jean d'Angely&nbsp;qui est&nbsp;patron de ce site : proposé de faire point rentrée le 15/09 : confirmé par mail : pas de réponse<BR><strong>12/07/2016&nbsp;GERALDINE D&nbsp;:</STRONG>&nbsp;contact téléphonique avec STOFLOG Neuville de Poitou. <BR>Mme Poisson a pris sa retraite et M. Yalcin a quitté la société. <BR>Le chef d'atelier me demande de contacter M. LORETZ Responsable de Site qui s'occupe aussi du site de St Jean d'Angély&nbsp;(dept 17)<BR>Celui-ci a pris ses fonctions début 2016 et n'a pas vraiment l'historique de nos relations &amp; achats - cependant il connaît notre nom. <BR>Très peu de besoins mais achète à la concurrence, y compris les produits PMUC (à priori concurrent Cortec)<BR>Dans un premier temps, lui adresser un mail avec plaquette, info sur site internet + retour rapide&nbsp;sur l'historique de ses achats.<BR>Dans un second temps, en Septembre, possibilité de lui rendre visite <BR><BR><strong>11/07/2016&nbsp;GERALDINE D&nbsp;:</STRONG>&nbsp;<BR>CA 2011 : 1 265 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2012 : 3 423 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2013 : 5 891 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2014 : 2 814 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2015 : 0 €<BR><BR><SPAN class=st>Emballages et conditionnement bois, cartons et techniques, sur-mesure ou en série. Logistique et délégation de production au service des Supply Chain.<BR><BR></SPAN><BR>"
SFE;
SOFP;
SOFSRI;
SOFS;
SOFSGA;
SOFT;"<strong>15/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu Mme Boisson et&nbsp;croisé M. Loretz -&nbsp;fait point avec Mme Boisson et M. Lucas (retraité, mais qui est toujours là) - les achats se décident à Asnières - voir CRV<br />
<strong>13/09/2016 JACQUES G :</strong> tél M. Loretz pour demandé si je peux le rencontrer : laissé message lui demandant de me rappeler :&nbsp;pas de réponse&nbsp;<br />
<strong>29/08/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;C'est M. Loretz, patron du site de Neuville qui est aussi patron de ce site : envoi d'un mail pour demande de visite<br />
CA 2011 : 5 091 €&nbsp;&nbsp;&nbsp; 2012 : 7 417 €&nbsp;&nbsp;&nbsp; 2013 : 8 472 €&nbsp; &nbsp; 2014 : 0&nbsp;€&nbsp;&nbsp;&nbsp;&nbsp;2015 : 2 312 €<br />
&nbsp;
<p>&nbsp;</p>
"
TELJ;
TELS;
TELVIR;
SOFOP;
SOGEI;
SOL;
SOME;26/04/2010 : consultation urgente pour des sacs VCI 'losange'<BR>05/05/2010 : passage de JV pour comprendre la demande<BR>11/05/2010 : offre JGL 10/173 pour un sac Axeltech peut-être un peu grands : à optimiser<BR>17/05/2010 : besoin moins urgent car de nouveau possibilité de fourniture sacs VCI 'losange' par son client allemand !
SOMEP;
ALTB;"Font partie de la branche Stamping d'Altia avec les sites de Meaux, La Souterraine et Beaucourt<br />
En redressement judiciaire pendant&nbsp;8 mois, puis repris par le groupe Steva le 29/01/2016"
GM&S;"<strong>26/04/2017 JACQUES G</strong>&nbsp;:&nbsp;vu M. Lavergne pour point :&nbsp;&nbsp;liquidation probable décidée par le tribunal de commerce le 05/05 : voir CRV<br />
<strong>25/04/2017 JACQUES G</strong> : M. Lavergne ne pouvait pas répondre car il était en congés, mais son collègue m'a proposé de passer demain car il sera revenu.<br />
<strong>02/12/2016 JACQUES G : </strong>mis en redressement judiciaire<br />
<strong>19/12/2014&nbsp;GERALDINE D&nbsp;:</strong>&nbsp;ALTIA La Souterraine est repris par GM&S INDUSTRY FRANCE Date effective de reprise : 02/12/2014&nbsp;&nbsp; nouveau SIRET 80813419100028<br />
<strong>18/03/2014 JACQUES G </strong>:&nbsp;vu M. Lavergne pour refaire un point général préalable à une réactualisation de notre offre<br />
<br />
CA 2013 : 12 282 €&nbsp;&nbsp;&nbsp; 2014 : 11 883 €&nbsp;&nbsp;&nbsp; 2015 : 7 830 €&nbsp;&nbsp;&nbsp; 2016 : 5 631 €"
SONC;"<strong>12/04/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;visite effectuée le 12/04/2016 voir CR<BR><BR>Société de 800 personnes<BR>Même groupe que MMT (Moving Magnet Technologies) 25 Besançon&nbsp; &nbsp;www.movingmagnet.com<BR><BR>"
SON;
SOREP;
SOTE;"<strong>01/04/2017 JACQUES G</strong>&nbsp;:&nbsp;Achètent des GARDAC pour des applications nucléaires<br />
CA 2011 : 4 226 €&nbsp;&nbsp;&nbsp; 2012 : 3 298 €&nbsp;&nbsp;&nbsp; 2013 : 568 €&nbsp;&nbsp;&nbsp; 2014 : 840 €&nbsp;&nbsp;&nbsp; 2015 : 1 259 €&nbsp;&nbsp;&nbsp; 2016 : 1 186 €"
SOT;
SOTRE;"04/02/2014 : visite PHL + JGL pour point sur la situation<BR>CA 2011 : 363 443 €&nbsp;&nbsp;&nbsp; 2012 : 318 218 €&nbsp;&nbsp;&nbsp; 2013 : 116 127 €&nbsp;&nbsp;&nbsp; 2014 : 160 024 €&nbsp;&nbsp;&nbsp; 2015 : 117 239 €"
VOEBOH;
SOVE;
SPAR;
EMSU;
ST;
STAC;
STAR;"<strong>21/11/2017 JACQUES G</strong>&nbsp;:&nbsp;tél à Mme Amar pour précisions sur PMUC, confirmées par mail<br />
<strong>20/11/2017 JACQUES G</strong>&nbsp;:&nbsp;mail de consultation de Mme&nbsp;Pauline Amar&nbsp;pour film et gaine : offre CP 17-754<br />
<strong>28/06/2017 JACQUES G</strong>&nbsp;:&nbsp;vu Mme Crépin pour point complet - voir CRV<br />
<strong>26/06/2017 JACQUES G</strong>&nbsp;:&nbsp;tél au standard : OK pour&nbsp;passer mercredi&nbsp;pour point avec Mme Crépin - confirmé par mail<br />
<strong>11/04/2012 JACQUES G&nbsp;:</strong> Attention : ont pour clients SOURIAU 77 MAROLLES et MOUVEX 89 AUXERRE<br />
<strong>10/12/2010 JACQUES G&nbsp;:</strong> Attention : ce distributeur a été consulté par Griset pour un sujet qui nous a été confié en direct<br />
<br />
CA 2011 : 4 552 €&nbsp;&nbsp;&nbsp; 2012 : 4 962 €&nbsp;&nbsp;&nbsp; 2013 : 7 082 €&nbsp;&nbsp;&nbsp; 2014 : 2 805 €&nbsp;&nbsp;&nbsp; 2015 : 7 583 €&nbsp;&nbsp;&nbsp; 2016 : 4 313 €<br />
&nbsp;"
STA;"<strong>29/07/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;visite le 28/07/2016 avec JV suite à la demande de M BROSSAULT (pb d'oxydation sur leviers emballés dans de la housse Cortec) voir mail retour sur visite<br />
<br />
<strong>04/03/2016&nbsp;JACQUES M&nbsp;:</strong>&nbsp;Ajout d'un mémo RV du 10/02 - en attendant CRV - à partir du mail de Jacques à Mme Saelen (Rubrique Rapport et Compte-rendus ) + ajout du mail de remerciement de M. Bovio suite à notre acceptation de baisse de prix pour cause de conjoncture + Satisfaction client<br />
<strong>10/02/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;visite JGL + JMB / M. Bovio et sa remplaçante : Mme Saelen (prononcer séélène) : point général - demande de baisse de 6% sur chaque poste - voir CR visite<br />
<strong>05/01/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;présenté vœux et&nbsp;confirmé rdv par tél pour point début d'année avec JGL + JMB : M. Bovio OK / 10/02/2016 à 10h00<br />
<strong>23/12/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;mail à M. Bovio pour les 2 sujets en cours&nbsp; + proposition dates de visite début 2016 (proposition pour le 10/02/16)<br />
<strong>22/12/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél à M. Bovio pour traiter sujet des cartons/skin et du film skin incolore : mais est en congés jusqu'au 05/01/16<br />
<strong>25/02/2015 JACQUES G :</strong> visite JMBB + JGL / MM Bovio + Brussoz + Da Costa pour point général - Sous-traitants actifs en 2015 : AMG; AMM; BALLOCCHI; <strong>BERARD</strong>; <strong>BUCARI</strong>; <strong>CNB Usinage</strong>; DURANDARD; <strong>LAM</strong>; NP Savoie; Ocopa pour Fonderie Mayennaise;&nbsp;<strong>PCI</strong>; SAMAG;&nbsp;ZEDCE&nbsp;&nbsp;OXYMETAL HAUCONCOURT<br />
<strong>11/02/2014 JACQUES G :</strong> visite FC + JGL / M. Tiberghien + M. Bovio qui prend la suite de M. Tiberghien + M. Chappaz, pour point général<br />
<strong>04/06/2013 JACQUES G :</strong>&nbsp;visite JM + JV + JGL / M. Tiberghien pour un point général<br />
<strong>06/02/2013 JACQUES G :</strong>&nbsp;visite JGL&nbsp;/ M. Tiberghien qui reprend après M. Sage pour point commercial<br />
<strong>17/06/2011 JACQUES G :</strong> JGL présent à la journée du centenaire de Stäubli - rencontré l'acheteur M. Sage<br />
<strong>04/06/2010 JACQUES G :</strong> suite conv tel JGL : c'est M. Sage qui reprend notre compte à la place de Mme Rohi<br />
CA 2009 : 28 493 €&nbsp;&nbsp; 2010 : 126 661 €&nbsp;&nbsp; 2011 : 73 037 €&nbsp;&nbsp; 2012 : 55 026 €&nbsp;&nbsp;&nbsp;2013 : 116 045&nbsp;€&nbsp;&nbsp;&nbsp; 2014 : 84 762 €&nbsp;&nbsp;&nbsp;&nbsp; 2015 : 112 281 €"
STTS;
INTERC;
MAF;
TROP;
VEND;
ANN;"<strong>24/05/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;rdv le 24/05/2016 avec madame Collomb remplacante de madame Montagnon voir CR<BR><BR><strong>30/03/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;ME MONTAGNON a quitté la société remplacement par NATHALIE COLLOMB prendre RDV après le 15 avril<BR><BR>
<P>2014 03 18 : ce site d'Annecy ne fait plus partie du groupe Altia depuis fin 2013</P>"
STIB;
STORA;
STOR;
STORO;
STJ;
STU;
STC;"<strong>21/07/2016&nbsp;JEROME V&nbsp;:</STRONG>&nbsp;Visite ES et JV pour information VCI à Nicolas Lançon (voir CR)<BR><strong>22/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;visite effectuée chez M ALZINGRE pour prise d'une housse défectueuse suite à non conformité N°236 les essais de productivité avec housse 320 sont en cours<BR><strong>07/10/2015 JACQUES G : </STRONG>les échantillons de housses $250 et $252 sont prêts (source Frédérique)<BR><strong>10/09/2016 JACQUES G : </STRONG>offre JGL 15/546rev2 pour&nbsp;estimation des gains de productivité accessibles sur les 2 principales réfs de housses $250 et $252 sous réserve d'essais de validation sur sites&nbsp;<BR><strong>15/07/2015 JACQUES G :</STRONG>&nbsp;visite JMBB + JGL / M. Grangeot pour point : attention M. Grangeot va rétrocéder les achats VCI au service achats en sept 2015 - par ailleurs, suite à bench mark obtenu par leurs usines serbe et Slovaque :&nbsp;des housses pour $250 et $252, de dimensions inférieures et de solidité inférieures fournies par S-pack (distributeur de Excor CZ pour les sites serbe et Slovaque) : devraient aussi convenir pour les sites français et leur générer des gains de productivité : à gérer d'ici la reprise des achats par le service achats pour éviter de nous trouver en&nbsp;sur-qualité et en surcoût par rapport à l'offre tchèque qui semble convenir industriellement (source M. Grangeot).&nbsp;<BR><strong>09/07/2013 JACQUES G :</STRONG> visite JGL / MM. Grangeot et Alzingre pour point : pas de soucis particuliers<BR><BR>CA des 3 sites FR&nbsp;:&nbsp;2011 : 71 552€&nbsp;&nbsp; 2012 : 68 007€&nbsp;&nbsp; 2013 : 57 059€&nbsp;&nbsp; 2014 : 87 407€&nbsp;&nbsp; 2015 :&nbsp;84 064 €<BR>Aussi livrés par Embalsace 68 Mulhouse"
STRS;
STT;
STPONT;
SUN;
SUPA;
TEC;
TECHNI;
TECHNO;
THERC;"<strong>31/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél à Mme Rochard : occuper : envoyer mail<BR><strong>25/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél à Mme Rochard : toujours pas joignable<BR><strong>16/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél à Mme Rochard : pas joignable<BR><strong>11/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;Mme Rochard nous informe d'un arrêt du besoin des HOFE560766 et nous demande de reprendre 2 400 de ces housses<BR><strong>23/09/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél Mme Le Bec à changé d'adresse mail : maintenant c'est morganplc&nbsp; - envoyé mail pour proposer passage le 04/11 matin<BR><strong>21/09/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél, puis mail pour proposer à Mme Le Bec de passer la rencontrer le 29/09&nbsp;: message d'erreur&nbsp;<BR><strong>01/07/2010&nbsp;JACQUES G&nbsp;:</STRONG> visite ES + JGL auprès de M. Briand et Mme Le Bec pour gérer des soucis de corrosion sous housses Zerust&nbsp;<BR><BR>"
THERM;
THK;"<strong>11/10/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;appel pour rdv, Me STENTZ est remplacée par Me GUEYE (en vacances) prendre RDV rapidement<br />
<br />
<strong>20/10/2015&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;Visite effectuée le 20/10/2015 voir CR<br />
<strong>07/10/2015&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;contact téléphonique le 07/10/2015 mail pour demande de rdv<br />
<br />
21/05/2014 : visite JGL / Mme Kleider pour point achat et dde nouveau rdv pour point méthode qualité"
THYV;SITE FERME DEBUT 2010
THYP;
THY;SITE VENDU PAR THYSSEN A TECHFORM DEBUT 2010
THYC;"<strong>08/09/2017 JACQUES G</strong>&nbsp;:&nbsp;tél à Mme Potony : intéressée par retour d'info sur action Sermaises et va me donner noms de contacts sur autres sites<br />
<strong>13/07/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél à Mme Potony pour Ronchamp : va m'informer semaine prochaine de ce qu'ils ont fait : en informer JMB aussitôt : la relancer si pas de news<br />
<strong>24/06/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;rencontré Mme Potony pour présentation réciproque et plan pour le redéploiement d'Acobal chez Gestamp : voir CRV<br />
<strong>01/06/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;confirmation à Mme Potony de ma venue le 24/06 à 10h30<br />
<strong>31/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél / Champagney<br />
<strong>30/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;envoyé mail pour statuer sur expé / Champagney : pas joignable<br />
<strong>27/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;rappelé pour instructions : pas dispo rappeler lundi<br />
<strong>26/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;eu Mme Le Quellec au tél / pb Ronchamp : envoyé mail - quitte Gestamp le 31/05/16&nbsp;- dde visite / remplaçante : Mme Potony<br />
<strong>25/10/2012 JACQUES G :</strong>&nbsp;passage&nbsp;au Theil pour refaire le point avec M. Fauchon, le nouvel acheteur pour Gestamp<br />
<strong>04/05/2010 JACQUES G :</strong> passage de JGL sur le Theil pour reprendre toutes les infos de base auprès de M. Libersé pour faire offre globale pour Thyssen Sofedit<br />
fin 2011 / Gestamp reprend les activités ex-Thyssen, ex-Sofedit Le Theil et Sermaises&nbsp;&nbsp; anciennement Lebranchu<br />
CA 2011&nbsp;: 27 364 €&nbsp;&nbsp;&nbsp; 2012 : 7 355 €&nbsp;&nbsp;&nbsp; 2013 : 0 €&nbsp;&nbsp;&nbsp; 2014 : 0 €&nbsp;&nbsp;&nbsp; 2015 : 0 €"
THYS;"<strong>08/06/2017 JACQUES G</strong>&nbsp;:&nbsp;vu Mme Fauvin pour point : très contents du passage en sachets / housses : mais notre CA a été divisé /2 : leur business monte : refaire une offre en V320 contre&nbsp;les housses bleues - Gestamp a été introduit en bourse&nbsp;début avril 2017<br />
<strong>31/05/2017 JACQUES G</strong>&nbsp;:&nbsp;tél à Mme Fauvin pour demande rdv : OK / 08/06 à 14h00<br />
<strong>02/02/2016&nbsp;ELODIE S&nbsp;:</strong>&nbsp;visite - Mr Pinault suite demande JGL pour validation de grade &lt; à 450 : voir CRV en attaché<br />
<strong>23/11/2015&nbsp;CECILE&nbsp;G&nbsp;:</strong> offre 15/828&nbsp;contre Itec&nbsp;<br />
<strong>06/11/2015&nbsp;JACQUES G&nbsp;: </strong>consultation de Mme Fauvin pour leurs autres références Itec&nbsp;et demande d'inscription dans leur portail<br />
<strong>05/11/2015&nbsp;JACQUES G&nbsp;: </strong>commande pour des sachets 350 x 600 mm&nbsp;<br />
<strong>15/10/2015&nbsp;CECILE G : </strong>offre CG 15/716&nbsp;<br />
<strong>12/10/2015&nbsp;JACQUES G&nbsp;:</strong> demande d'offre à Cécile et d'échantillons à Claire&nbsp;<br />
<strong>07/10/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu Mme Fauvin et M. Pinault pour point général et optimisation de notre offre<br />
25/03/2014 : visite JGL : M. Rose&nbsp;: information et essai grande housse échantillon : reboucler au Theil chez M. Fauchon<br />
30/09/2011 : offre générique refaite par JGL pour les 4 produits mouvementés : les passer en Zerust sur commande car trop chers en catalogue<br />
CA 2011 : 20 154 €&nbsp;&nbsp;&nbsp;&nbsp; 2012 : 2 616 €&nbsp;&nbsp;&nbsp;&nbsp; 2013 : 1 159 €&nbsp;&nbsp;&nbsp;&nbsp; 2014 : 18 266 €&nbsp;&nbsp;&nbsp; 2015 : 37 883 €&nbsp;&nbsp;&nbsp; 2016 : 19 412 €"
ZERC;
TIMH;
TIM;
TIS;
TONRA;
TOPA;
TRAM;
TRANSR;
TRCHA;"<strong>14/11/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;visite avec M Girard voir cr&nbsp;<br />
<br />
<strong>16/06/2017 ELODIE S</strong>&nbsp;:&nbsp;J'appelle Mr Girard qui a des soucis de corrosion sur des pièces peintes en extérieur mais sans protection intérieur. Après échange, il est convenu qu'il fasse un essai avec les produits que nous lui livrons déjà.<br />
<strong>20/06/2017 ELODIE S</strong>&nbsp;:&nbsp;j'appelle Mr Vendegou qui a peu d'infos. Il n'a pas le temps d'échanger sur le sujet car réunion. je lui envoie un mail récapitulatif.<br />
<strong>19/06/2017 JACQUES G</strong>&nbsp;:&nbsp;M. Vendegou me rappelle pour me demander où nous en sommes avec son pb de corrosion : je le renvoie vers JMB et ES pour une synthèse des actions en cours<br />
<strong>20/04/2017 JACQUES G</strong>&nbsp;:&nbsp;M. Vendegou nous signale un pb de corrosion pour un flux Asie dans nos gaines Gardac : JMB prévenu le 22/04 pour action<br />
<strong>10/05/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;visite effectué le 10/05/2016 à la demande de ME PAPEGAY Discussion politique prix suite à visite concurrent voir CR"
TREFC;
TREF;"<strong>26/03/2010&nbsp;CAROLINE L&nbsp;</STRONG>: Cloture de litige transport: 1 rouleau livré sur les 2, le client n'a pas fait de réserves. Ns avons cpdt accepté de le dédommager à titre commercial.<BR><BR>
<P>&nbsp;</P>"
TRE;
TREV;"<strong>29/09/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Contact téléphonique établi, prendre RDV en novembre 2015<BR><BR>"
TRI;
VT2;"<strong>01/04/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;visite effectuée le 01/04/2016 avec M MEDJAED Directeur industriel et achats voir cr<BR><BR><strong>21/09/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Contact téléphonique le 21/09/2015 à ME LAURENT Vanessa (ex MME GALMICHE) attente RDV<BR><BR><strong>28/08/2015&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;ex-TRW repris par VT2i<BR><BR>"
TRWS;"<strong>21/10/2016 JEAN-MICHEL B</strong>&nbsp;:&nbsp;essais sur site effectués le 20/10/2016 voir retour sur visite<br />
<br />
<strong>12/09/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;visite effectuée le 12/09/2016 voir CR<br />
<br />
<strong>09/09/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;demande de visite de M BINCKLY (pb corrosion sièges de soupapes) RDV pris pour le 12/09/2016<br />
&nbsp;"
FEDO;"<BR>CA 2011 :&nbsp;0 €&nbsp;&nbsp;&nbsp; 2012 : 0 €&nbsp;&nbsp;&nbsp; 2013 : 1 414 €&nbsp;&nbsp;&nbsp; 2014 :&nbsp;2 793 €&nbsp;&nbsp;&nbsp;&nbsp;2015 : 1 630 €"
TS;
TUR;"<strong>16/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;demande de RDV demandée par mail à Francine ERROTTABEHERE<BR><BR><strong>16/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Catalogue envoyé à M. LABAT<BR><BR>"
TURB;"<strong>22/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Visite effectuée avec J Manenc auprès de ME SARRAILLE le 18/02/2016 voir CR<BR><BR><strong>27/01/2016&nbsp;JEROME V&nbsp;:</STRONG>&nbsp;Conference Téléphonique avec Nicolas Fernandes et Elodie. Nicolas Fernandes pilote d'un groupe de validations des VCI chez Safran. Discussions sur les tests possibles pour valider une matière VCI. N. Fernandes nous informer qu'il est souvent approché pour expliquer des problèmes de corrosion chez Turbomeca avec utilisation de nos VCI. Les moteurs TMUS et TM Bordes sont tous avec PE&nbsp;+ dessiccant. Idem maintenant avec des vis argenté car ternissement sous VCI (aucune idée de la durée de stockage, état de surface et type de VCI). Ces vis sont maintenant protégées par PE + dessicants. c<BR><BR><strong>14/01/2016&nbsp;JACQUES M&nbsp;:</STRONG>&nbsp;Envoi du catalogue général et du tarif TM à la demande de Mme Viu avec validité pour l'année 2016 (voir email du 14 janvier Offre - grille tarif 2016). <BR><strong>13/01/2016&nbsp;ELODIE S&nbsp;:</STRONG>&nbsp;Conditionnement des pièces avec Mr Quer&nbsp;pour les essais en enceinte climatique courant S5.<BR><strong>07/01/2016&nbsp;JACQUES M&nbsp;:</STRONG>&nbsp;Echange mail avec Mme Viu concernant le tarif et les actions d'appui tk en cours (voir Annexes : échange avec Mme Viu Janvier 2016)<BR><strong>06/01/2016&nbsp;JEROME V&nbsp;:</STRONG>&nbsp;Envoi du rapport des tests sur les huiles à Nicolas Fernandes (Voir Affaires Corrosion des moteurs) <BR><strong>(17/11/2015&nbsp;ELODIE S&nbsp;:</STRONG>&nbsp;suite audit fin Septembre,&nbsp;échange avec Mr Quer sur les suites à donner : planification des prochaines étapes : voir mail Mr Quer dans annexe. Voir fiche affaire 2016-83 pour les détails.<BR><BR>"
TVL;
TWL;
UCB A;"<strong>05/07/2017 JEAN-MICHEL B</strong>&nbsp;: visite effectuée avec M AMIEL voir CR<br />
<br />
&nbsp;"
UDE;
UFM;"<strong>20/04/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;Visite effectué lez 20/04/2016 voir CR<br />
<br />
<strong>06/11/2015&nbsp;JEAN-MICHEL B : Visite effectuée le 05/11/2015 voir cr</strong><br />
<strong>03/11/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;Attention : commandent en housses catalogue au tarif : à calmer...<br />
<strong>03/11/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;Lié à Dedecker Belgique : connecter avec PHL pour homogénéisation des conditions<br />
<strong>01/01/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;Sous-traitant de Poclain Hydraulics Verberie : conditions PH pour housses Zerust Valeno 450 type F 1270 x 1080 x 2000 mm sur mesures et tarif décalé d'une colonne pour les housses catalogue"
UMP;"<BR>CA 2011 : 0 €&nbsp;&nbsp;&nbsp; 2012 : 0 €&nbsp;&nbsp;&nbsp; 2013 : 0 €&nbsp;&nbsp;&nbsp; 2014 : 0 €&nbsp;&nbsp;&nbsp; 2015 : 720 €&nbsp;&nbsp;&nbsp; "
